Epoch,Accuracy,Loss,Validation Accuracy,Validation Loss,Learning Rate
1,0.7657,0.6867,0.8568,0.3729,0.001
2,0.8534,0.3721,0.8834,0.2942,0.001
3,0.8733,0.3276,0.8899,0.2864,0.001
4,0.8863,0.296,0.9126,0.2352,0.001
5,0.8954,0.2726,0.9081,0.2401,0.001
6,0.9031,0.257,0.9213,0.2102,0.001
7,0.9092,0.2421,0.9236,0.2056,0.001
8,0.916,0.227,0.9263,0.1989,0.001
9,0.9162,0.2235,0.9284,0.1896,0.001
10,0.9195,0.2138,0.9262,0.1903,0.001
11,0.9215,0.2109,0.9319,0.1815,0.001
12,0.9248,0.2023,0.9336,0.1802,0.001
13,0.9261,0.1976,0.932,0.1796,0.001
14,0.9292,0.1909,0.9358,0.1694,0.001
15,0.9315,0.1847,0.938,0.1693,0.001
16,0.9326,0.1823,0.9398,0.1654,0.001
17,0.9345,0.1795,0.9411,0.1617,0.001
18,0.9357,0.1747,0.9372,0.1657,0.001
19,0.9358,0.1711,0.9431,0.1562,0.001
20,0.9386,0.166,0.941,0.1625,0.001
21,0.9396,0.1623,0.9431,0.1556,0.001
22,0.9414,0.1575,0.9442,0.1525,0.001
23,0.9416,0.1561,0.9437,0.1532,0.001
24,0.9421,0.157,0.9441,0.1495,0.001
25,0.9443,0.1499,0.9467,0.1469,0.001
